-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2021 through 03/23/2022 
Location: Latitude  41.8472   Longitude -87.6628 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 180.72 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_KT              CERES SYN1deg All Sky Insolation Clearness Index (dimensionless) 
ALLSKY_SRF_ALB         CERES SYN1deg All Sky Surface Albedo (dimensionless) 
SZA                    CERES SYN1deg Solar Zenith Angle (Degrees) 
ALLSKY_SFC_PAR_TOT     CERES SYN1deg All Sky Surface PAR Total (W/m^2) 
CLRSKY_SFC_SW_DWN      CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_KT,ALLSKY_SRF_ALB,SZA,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_SW_DWN
2020,12,31,18,-999.0,-999.0,-999.0,0.0,0.0
2020,12,31,19,-999.0,-999.0,-999.0,0.0,0.0
2020,12,31,20,-999.0,-999.0,-999.0,0.0,0.0
2020,12,31,21,-999.0,-999.0,-999.0,0.0,0.0
2020,12,31,22,-999.0,-999.0,-999.0,0.0,0.0
2020,12,31,23,-999.0,-999.0,-999.0,0.0,0.0
2021,1,1,0,-999.0,-999.0,-999.0,0.0,0.0
2021,1,1,1,-999.0,-999.0,-999.0,0.0,0.0
2021,1,1,2,-999.0,-999.0,-999.0,0.0,0.0
2021,1,1,3,-999.0,-999.0,-999.0,0.0,0.0
2021,1,1,4,-999.0,-999.0,-999.0,0.0,0.0
2021,1,1,5,-999.0,-999.0,-999.0,0.0,0.0
2021,1,1,6,-999.0,-999.0,-999.0,0.0,0.0
2021,1,1,7,0.21,0.13,88.09,2.73,16.55
2021,1,1,8,0.05,0.12,79.91,5.55,139.95
2021,1,1,9,0.09,0.12,72.63,17.38,271.12
2021,1,1,10,0.09,0.12,67.41,22.7,364.67
2021,1,1,11,0.09,0.13,64.8,25.67,407.92
2021,1,1,12,0.12,0.15,65.1,36.38,396.88
2021,1,1,13,0.13,0.16,68.28,28.92,334.42
2021,1,1,14,0.05,0.12,73.97,8.02,226.23
2021,1,1,15,0.2,0.19,81.61,17.4,96.88
2021,1,1,16,0.34,0.16,89.11,1.9,5.6
2021,1,1,17,-999.0,-999.0,-999.0,0.0,0.0
2021,1,1,18,-999.0,-999.0,-999.0,0.0,0.0
2021,1,1,19,-999.0,-999.0,-999.0,0.0,0.0
2021,1,1,20,-999.0,-999.0,-999.0,0.0,0.0
2021,1,1,21,-999.0,-999.0,-999.0,0.0,0.0
2021,1,1,22,-999.0,-999.0,-999.0,0.0,0.0
2021,1,1,23,-999.0,-999.0,-999.0,0.0,0.0
2021,1,2,0,-999.0,-999.0,-999.0,0.0,0.0
2021,1,2,1,-999.0,-999.0,-999.0,0.0,0.0
2021,1,2,2,-999.0,-999.0,-999.0,0.0,0.0
2021,1,2,3,-999.0,-999.0,-999.0,0.0,0.0
2021,1,2,4,-999.0,-999.0,-999.0,0.0,0.0
2021,1,2,5,-999.0,-999.0,-999.0,0.0,0.0
2021,1,2,6,-999.0,-999.0,-999.0,0.0,0.0
2021,1,2,7,0.31,0.17,88.09,3.98,18.7
2021,1,2,8,0.21,0.18,79.91,21.98,153.02
2021,1,2,9,0.24,0.16,72.6,44.02,294.12
2021,1,2,10,0.25,0.16,67.36,60.38,395.83
2021,1,2,11,0.27,0.16,64.71,73.73,445.42
2021,1,2,12,0.26,0.16,64.99,69.2,437.83
2021,1,2,13,0.2,0.16,68.16,46.3,373.35
2021,1,2,14,0.25,0.16,73.84,40.98,259.75
2021,1,2,15,0.1,0.17,81.47,10.23,114.48
2021,1,2,16,0.29,0.14,89.05,1.65,7.12
2021,1,2,17,-999.0,-999.0,-999.0,0.0,0.0
2021,1,2,18,-999.0,-999.0,-999.0,0.0,0.0
2021,1,2,19,-999.0,-999.0,-999.0,0.0,0.0
2021,1,2,20,-999.0,-999.0,-999.0,0.0,0.0
2021,1,2,21,-999.0,-999.0,-999.0,0.0,0.0
2021,1,2,22,-999.0,-999.0,-999.0,0.0,0.0
2021,1,2,23,-999.0,-999.0,-999.0,0.0,0.0
2021,1,3,0,-999.0,-999.0,-999.0,0.0,0.0
2021,1,3,1,-999.0,-999.0,-999.0,0.0,0.0
2021,1,3,2,-999.0,-999.0,-999.0,0.0,0.0
2021,1,3,3,-999.0,-999.0,-999.0,0.0,0.0
2021,1,3,4,-999.0,-999.0,-999.0,0.0,0.0
2021,1,3,5,-999.0,-999.0,-999.0,0.0,0.0
2021,1,3,6,-999.0,-999.0,-999.0,0.0,0.0
2021,1,3,7,0.33,0.17,88.09,4.77,15.5
2021,1,3,8,0.14,0.18,79.89,15.65,139.3
2021,1,3,9,0.19,0.19,72.56,35.42,278.55
2021,1,3,10,0.27,0.21,67.3,62.75,382.42
2021,1,3,11,0.23,0.21,64.62,64.85,436.1
2021,1,3,12,0.22,0.21,64.88,60.38,433.0
2021,1,3,13,0.22,0.2,68.03,52.83,373.1
2021,1,3,14,0.2,0.2,73.7,34.5,262.75
2021,1,3,15,0.13,0.24,81.33,11.42,120.12
2021,1,3,16,0.37,0.16,88.98,2.52,8.33
2021,1,3,17,-999.0,-999.0,-999.0,0.0,0.0
2021,1,3,18,-999.0,-999.0,-999.0,0.0,0.0
2021,1,3,19,-999.0,-999.0,-999.0,0.0,0.0
2021,1,3,20,-999.0,-999.0,-999.0,0.0,0.0
2021,1,3,21,-999.0,-999.0,-999.0,0.0,0.0
2021,1,3,22,-999.0,-999.0,-999.0,0.0,0.0
2021,1,3,23,-999.0,-999.0,-999.0,0.0,0.0
2021,1,4,0,-999.0,-999.0,-999.0,0.0,0.0
2021,1,4,1,-999.0,-999.0,-999.0,0.0,0.0
2021,1,4,2,-999.0,-999.0,-999.0,0.0,0.0
2021,1,4,3,-999.0,-999.0,-999.0,0.0,0.0
2021,1,4,4,-999.0,-999.0,-999.0,0.0,0.0
2021,1,4,5,-999.0,-999.0,-999.0,0.0,0.0
2021,1,4,6,-999.0,-999.0,-999.0,0.0,0.0
2021,1,4,7,0.32,0.19,88.09,4.42,15.9
2021,1,4,8,0.2,0.2,79.87,20.83,138.73
2021,1,4,9,0.23,0.21,72.52,43.92,279.1
2021,1,4,10,0.27,0.22,67.23,63.23,383.75
2021,1,4,11,0.28,0.24,64.52,75.4,425.88
2021,1,4,12,0.3,0.23,64.77,82.12,422.25
2021,1,4,13,0.33,0.16,67.9,76.42,358.9
2021,1,4,14,0.27,0.22,73.55,47.73,249.52
2021,1,4,15,0.33,0.26,81.18,27.4,106.7
2021,1,4,16,0.32,0.17,88.91,2.25,7.6
2021,1,4,17,-999.0,-999.0,-999.0,0.0,0.0
2021,1,4,18,-999.0,-999.0,-999.0,0.0,0.0
2021,1,4,19,-999.0,-999.0,-999.0,0.0,0.0
2021,1,4,20,-999.0,-999.0,-999.0,0.0,0.0
2021,1,4,21,-999.0,-999.0,-999.0,0.0,0.0
2021,1,4,22,-999.0,-999.0,-999.0,0.0,0.0
2021,1,4,23,-999.0,-999.0,-999.0,0.0,0.0
2021,1,5,0,-999.0,-999.0,-999.0,0.0,0.0
2021,1,5,1,-999.0,-999.0,-999.0,0.0,0.0
2021,1,5,2,-999.0,-999.0,-999.0,0.0,0.0
2021,1,5,3,-999.0,-999.0,-999.0,0.0,0.0
2021,1,5,4,-999.0,-999.0,-999.0,0.0,0.0
2021,1,5,5,-999.0,-999.0,-999.0,0.0,0.0
2021,1,5,6,-999.0,-999.0,-999.0,0.0,0.0
2021,1,5,7,0.44,0.23,88.08,6.0,19.73
2021,1,5,8,0.25,0.22,79.84,26.88,156.9
2021,1,5,9,0.29,0.23,72.46,52.62,300.1
2021,1,5,10,0.3,0.23,67.14,71.77,404.9
2021,1,5,11,0.31,0.23,64.42,83.83,457.12
2021,1,5,12,0.34,0.26,64.63,89.98,453.05
2021,1,5,13,0.33,0.25,67.76,76.73,391.48
2021,1,5,14,0.3,0.23,73.41,51.95,280.5
2021,1,5,15,0.23,0.23,81.02,21.27,133.33
2021,1,5,16,0.41,0.2,88.84,3.33,10.7
2021,1,5,17,-999.0,-999.0,-999.0,0.0,0.0
2021,1,5,18,-999.0,-999.0,-999.0,0.0,0.0
2021,1,5,19,-999.0,-999.0,-999.0,0.0,0.0
2021,1,5,20,-999.0,-999.0,-999.0,0.0,0.0
2021,1,5,21,-999.0,-999.0,-999.0,0.0,0.0
2021,1,5,22,-999.0,-999.0,-999.0,0.0,0.0
2021,1,5,23,-999.0,-999.0,-999.0,0.0,0.0
2021,1,6,0,-999.0,-999.0,-999.0,0.0,0.0
2021,1,6,1,-999.0,-999.0,-999.0,0.0,0.0
2021,1,6,2,-999.0,-999.0,-999.0,0.0,0.0
2021,1,6,3,-999.0,-999.0,-999.0,0.0,0.0
2021,1,6,4,-999.0,-999.0,-999.0,0.0,0.0
2021,1,6,5,-999.0,-999.0,-999.0,0.0,0.0
2021,1,6,6,-999.0,-999.0,-999.0,0.0,0.0
2021,1,6,7,0.34,0.16,88.07,4.8,18.7
2021,1,6,8,0.36,0.21,79.8,37.65,154.5
2021,1,6,9,0.47,0.3,72.4,83.75,299.4
2021,1,6,10,0.48,0.24,67.05,113.0,403.6
2021,1,6,11,0.46,0.23,64.31,120.62,449.58
2021,1,6,12,0.52,0.23,64.5,137.27,442.27
2021,1,6,13,0.49,0.19,67.61,109.85,376.7
2021,1,6,14,0.48,0.24,73.25,81.83,265.98
2021,1,6,15,0.34,0.23,80.87,31.15,123.67
2021,1,6,16,0.29,0.16,88.76,2.27,10.0
2021,1,6,17,-999.0,-999.0,-999.0,0.0,0.0
2021,1,6,18,-999.0,-999.0,-999.0,0.0,0.0
2021,1,6,19,-999.0,-999.0,-999.0,0.0,0.0
2021,1,6,20,-999.0,-999.0,-999.0,0.0,0.0
2021,1,6,21,-999.0,-999.0,-999.0,0.0,0.0
2021,1,6,22,-999.0,-999.0,-999.0,0.0,0.0
2021,1,6,23,-999.0,-999.0,-999.0,0.0,0.0
2021,1,7,0,-999.0,-999.0,-999.0,0.0,0.0
2021,1,7,1,-999.0,-999.0,-999.0,0.0,0.0
2021,1,7,2,-999.0,-999.0,-999.0,0.0,0.0
2021,1,7,3,-999.0,-999.0,-999.0,0.0,0.0
2021,1,7,4,-999.0,-999.0,-999.0,0.0,0.0
2021,1,7,5,-999.0,-999.0,-999.0,0.0,0.0
2021,1,7,6,-999.0,-999.0,-999.0,0.0,0.0
2021,1,7,7,0.38,0.2,88.05,5.25,19.48
2021,1,7,8,0.23,0.2,79.76,24.55,157.05
2021,1,7,9,0.3,0.21,72.34,55.0,301.75
2021,1,7,10,0.38,0.23,66.97,85.98,407.92
2021,1,7,11,0.35,0.23,64.2,94.42,462.35
2021,1,7,12,0.34,0.23,64.36,92.95,459.52
2021,1,7,13,0.24,0.21,67.45,58.05,398.6
2021,1,7,14,0.26,0.2,73.09,47.02,286.05
2021,1,7,15,0.17,0.2,80.7,17.35,137.75
2021,1,7,16,0.27,0.15,88.67,2.33,12.17
2021,1,7,17,-999.0,-999.0,-999.0,0.0,0.0
2021,1,7,18,-999.0,-999.0,-999.0,0.0,0.0
2021,1,7,19,-999.0,-999.0,-999.0,0.0,0.0
2021,1,7,20,-999.0,-999.0,-999.0,0.0,0.0
2021,1,7,21,-999.0,-999.0,-999.0,0.0,0.0
2021,1,7,22,-999.0,-999.0,-999.0,0.0,0.0
2021,1,7,23,-999.0,-999.0,-999.0,0.0,0.0
2021,1,8,0,-999.0,-999.0,-999.0,0.0,0.0
2021,1,8,1,-999.0,-999.0,-999.0,0.0,0.0
2021,1,8,2,-999.0,-999.0,-999.0,0.0,0.0
2021,1,8,3,-999.0,-999.0,-999.0,0.0,0.0
2021,1,8,4,-999.0,-999.0,-999.0,0.0,0.0
2021,1,8,5,-999.0,-999.0,-999.0,0.0,0.0
2021,1,8,6,-999.0,-999.0,-999.0,0.0,0.0
2021,1,8,7,0.33,0.2,88.03,4.23,19.85
2021,1,8,8,0.16,0.21,79.7,16.6,157.77
2021,1,8,9,0.28,0.22,72.26,51.33,302.73
2021,1,8,10,0.34,0.22,66.87,82.27,408.5
2021,1,8,11,0.36,0.23,64.06,93.17,452.38
2021,1,8,12,0.35,0.22,64.22,96.05,450.1
2021,1,8,13,0.38,0.23,67.3,89.1,390.83
2021,1,8,14,0.3,0.21,72.91,53.4,280.75
2021,1,8,15,0.23,0.22,80.53,22.33,134.42
2021,1,8,16,0.34,0.18,88.59,3.42,11.9
2021,1,8,17,-999.0,-999.0,-999.0,0.0,0.0
2021,1,8,18,-999.0,-999.0,-999.0,0.0,0.0
2021,1,8,19,-999.0,-999.0,-999.0,0.0,0.0
2021,1,8,20,-999.0,-999.0,-999.0,0.0,0.0
2021,1,8,21,-999.0,-999.0,-999.0,0.0,0.0
2021,1,8,22,-999.0,-999.0,-999.0,0.0,0.0
2021,1,8,23,-999.0,-999.0,-999.0,0.0,0.0
2021,1,9,0,-999.0,-999.0,-999.0,0.0,0.0
2021,1,9,1,-999.0,-999.0,-999.0,0.0,0.0
2021,1,9,2,-999.0,-999.0,-999.0,0.0,0.0
2021,1,9,3,-999.0,-999.0,-999.0,0.0,0.0
2021,1,9,4,-999.0,-999.0,-999.0,0.0,0.0
2021,1,9,5,-999.0,-999.0,-999.0,0.0,0.0
2021,1,9,6,-999.0,-999.0,-999.0,0.0,0.0
2021,1,9,7,0.39,0.19,88.0,5.73,20.85
2021,1,9,8,0.49,0.19,79.65,49.8,163.25
2021,1,9,9,0.64,0.23,72.18,113.35,310.98
2021,1,9,10,0.7,0.23,66.76,161.95,418.02
2021,1,9,11,0.64,0.22,63.93,166.0,462.38
2021,1,9,12,0.6,0.23,64.06,154.33,459.4
2021,1,9,13,0.59,0.2,67.12,134.35,397.9
2021,1,9,14,0.57,0.2,72.74,97.2,286.85
2021,1,9,15,0.42,0.18,80.36,40.42,139.5
2021,1,9,16,0.37,0.2,88.48,3.67,13.05
2021,1,9,17,-999.0,-999.0,-999.0,0.0,0.0
2021,1,9,18,-999.0,-999.0,-999.0,0.0,0.0
2021,1,9,19,-999.0,-999.0,-999.0,0.0,0.0
2021,1,9,20,-999.0,-999.0,-999.0,0.0,0.0
2021,1,9,21,-999.0,-999.0,-999.0,0.0,0.0
2021,1,9,22,-999.0,-999.0,-999.0,0.0,0.0
2021,1,9,23,-999.0,-999.0,-999.0,0.0,0.0
2021,1,10,0,-999.0,-999.0,-999.0,0.0,0.0
2021,1,10,1,-999.0,-999.0,-999.0,0.0,0.0
2021,1,10,2,-999.0,-999.0,-999.0,0.0,0.0
2021,1,10,3,-999.0,-999.0,-999.0,0.0,0.0
2021,1,10,4,-999.0,-999.0,-999.0,0.0,0.0
2021,1,10,5,-999.0,-999.0,-999.0,0.0,0.0
2021,1,10,6,-999.0,-999.0,-999.0,0.0,0.0
2021,1,10,7,0.31,0.17,87.97,4.65,16.95
2021,1,10,8,0.17,0.19,79.59,18.67,142.05
2021,1,10,9,0.3,0.22,72.09,56.88,281.7
2021,1,10,10,0.21,0.22,66.64,54.4,388.77
2021,1,10,11,0.27,0.23,63.79,77.08,444.12
2021,1,10,12,0.15,0.21,63.9,43.5,443.08
2021,1,10,13,0.13,0.2,66.95,34.6,387.45
2021,1,10,14,0.23,0.21,72.57,43.5,278.98
2021,1,10,15,0.3,0.22,80.19,28.85,135.62
2021,1,10,16,0.31,0.17,88.39,3.73,13.73
2021,1,10,17,-999.0,-999.0,-999.0,0.0,0.0
2021,1,10,18,-999.0,-999.0,-999.0,0.0,0.0
2021,1,10,19,-999.0,-999.0,-999.0,0.0,0.0
2021,1,10,20,-999.0,-999.0,-999.0,0.0,0.0
2021,1,10,21,-999.0,-999.0,-999.0,0.0,0.0
2021,1,10,22,-999.0,-999.0,-999.0,0.0,0.0
2021,1,10,23,-999.0,-999.0,-999.0,0.0,0.0
2021,1,11,0,-999.0,-999.0,-999.0,0.0,0.0
2021,1,11,1,-999.0,-999.0,-999.0,0.0,0.0
2021,1,11,2,-999.0,-999.0,-999.0,0.0,0.0
2021,1,11,3,-999.0,-999.0,-999.0,0.0,0.0
2021,1,11,4,-999.0,-999.0,-999.0,0.0,0.0
2021,1,11,5,-999.0,-999.0,-999.0,0.0,0.0
2021,1,11,6,-999.0,-999.0,-999.0,0.0,0.0
2021,1,11,7,0.35,0.18,87.94,5.23,20.75
2021,1,11,8,0.2,0.2,79.52,21.65,163.27
2021,1,11,9,0.23,0.21,71.99,41.9,311.77
2021,1,11,10,0.24,0.22,66.52,59.6,419.67
2021,1,11,11,0.3,0.23,63.64,82.0,476.42
2021,1,11,12,0.27,0.23,63.73,75.77,476.12
2021,1,11,13,0.27,0.22,66.77,65.3,416.67
2021,1,11,14,0.25,0.21,72.38,45.75,305.45
2021,1,11,15,0.17,0.23,80.0,17.2,154.95
2021,1,11,16,0.23,0.14,88.28,2.6,17.08
2021,1,11,17,-999.0,-999.0,-999.0,0.0,0.0
2021,1,11,18,-999.0,-999.0,-999.0,0.0,0.0
2021,1,11,19,-999.0,-999.0,-999.0,0.0,0.0
